Titre;Prix;Année;Kilometrage;Boite;Carburant;Marque;Modele;Ville;Image;Lien
Hyundai I10 à vendre;68000;2014;120 000 - 129 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142403557?t=images;https://www.avito.ma/fr/al_hoceima/voitures_d_occasion/Hyundai_I10_à_vendre_57242715.htm
Hyundai i10 Essence Automatique 2025 à Tanger;140000;2025;15 000 - 19 999;Automatique;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142398628?t=images;https://www.avito.ma/fr/achennad/voitures_d_occasion/Hyundai_i10_Essence_Automatique_2025_à_Tanger_57242417.htm
Hyundai i10 Essence Manuelle 2012 à Rabat;65000;2012;120 000 - 129 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142397176?t=images;https://www.avito.ma/fr/aviation/voitures_d_occasion/Hyundai_i10_Essence_Manuelle_2012_à_Rabat_57242309.htm
Hyundai i10 2022;135000;2022;35 000 - 39 999;Automatique;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142375427?t=images;https://www.avito.ma/fr/draoua/voitures_d_occasion/Hyundai_i10_2022_57240022.htm
Hyundai i10 Essence Manuelle 2010 à Fès;63000;2010;15 000 - 19 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142348284?t=images;https://www.avito.ma/fr/centre/voitures_d_occasion/Hyundai_i10_Essence_Manuelle_2010_à_Fès_57237248.htm
Hyundai i10 Essence Automatique 2019 à Agadir;0;2019;20 000 - 24 999;Automatique;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142345852?t=images;https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Hyundai_i10_Essence_Automatique_2019_à_Agadir_57236966.htm
Hyundai i10 Essence Manuelle 2009 à Fès;63000;2009;180 000 - 189 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142310681?t=images;https://www.avito.ma/fr/zouagha/voitures_d_occasion/Hyundai_i10_Essence_Manuelle_2009_à_Fès_57233557.htm
Vente Hyundai Grand I10;85000;2017;85 000 - 89 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142307444?t=images;https://www.avito.ma/fr/hay_dakhla/voitures_d_occasion/Vente_Hyundai_Grand_I10_57233169.htm
Hyundai i10 Essence Manuelle 2009 à Fès;63000;2009;180 000 - 189 999;Manuelle;Essence;Hyundai;i 10;N/A;N/A;https://www.avito.ma/fr/zouagha/voitures_d_occasion/Hyundai_i10_Essence_Manuelle_2009_à_Fès_57233559.htm
Hyundai i10 3amra 2016;85000;2016;85 000 - 89 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10142262196?t=images;https://www.avito.ma/fr/daoudiate/voitures_d_occasion/Hyundai_i10_3amra_2016_57228368.htm
