Titre;Prix;Année;Kilometrage;Boite;Carburant;Marque;Modele;Ville;Image;Lien
Dacia duster 2022;0;2022;25 000 - 29 999;Manuelle;Diesel;Dacia;Duster;N/A;https://content.avito.ma/classifieds/images/10142559765?t=images;https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Dacia_duster_2022_56042112.htm
Dacia dustre 2022;0;2022;45 000 - 49 999;Manuelle;Diesel;Dacia;Duster;N/A;https://content.avito.ma/classifieds/images/10142925377?t=images;https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Dacia_dustre_2022_52123185.htm
Dacia Duster Facelift Automatique 2021 Salon Cuir;191000;2021;65 000 - 69 999;Automatique;Diesel;Dacia;Duster;N/A;https://content.avito.ma/classifieds/images/10137647311?t=images;https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Dacia_Duster_Facelift_Automatique_2021_Salon_Cuir_56343379.htm
dacia duster;205000;2022;110 000 - 119 999;Automatique;Diesel;Dacia;Duster;N/A;https://content.avito.ma/classifieds/images/10141916851?t=images;https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/dacia_duster_57195943.htm
Dacia Duster 2*4;125000;2015;150 000 - 159 999;Manuelle;Diesel;Dacia;Duster;N/A;https://content.avito.ma/classifieds/images/10143084021?t=images;https://www.avito.ma/fr/hay_essalam/voitures_d_occasion/Dacia_Duster_2_4_57309454.htm
Dacia Duster Diesel Automatique 2019 à Agadir;0;2019;170 000 - 179 999;Automatique;Diesel;Dacia;Duster;N/A;https://content.avito.ma/classifieds/images/10140734345?t=images;https://www.avito.ma/fr/hay_dakhla/voitures_d_occasion/Dacia_Duster_Diesel_Automatique_2019_à_Agadir_57091640.htm
dacia Duster;188000;2021;80 000 - 84 999;Automatique;Diesel;Dacia;Duster;N/A;https://content.avito.ma/classifieds/images/10140257293?t=images;https://www.avito.ma/fr/maarif/voitures_d_occasion/dacia_Duster_57049775.htm
Voiture DUSTER AUTOMATIQUE FIN 2021;198000;2021;75 000 - 79 999;Automatique;Diesel;Dacia;Duster;N/A;https://content.avito.ma/classifieds/images/10143082759?t=images;https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Voiture_DUSTER_AUTOMATIQUE_FIN_2021_57309284.htm
Duster prestige automatique Basma;0;2021;0 - 4 999;Automatique;Diesel;Dacia;Duster;N/A;https://content.avito.ma/classifieds/images/10142380377?t=images;https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Duster_prestige_automatique_Basma_49886641.htm
Dacia Duster Diesel Automatique 2021 à Marrakech;175000;2021;120 000 - 129 999;Automatique;Diesel;Dacia;Duster;N/A;https://content.avito.ma/classifieds/images/10141063764?t=images;https://www.avito.ma/fr/hay_targa/voitures_d_occasion/Dacia_Duster_Diesel_Automatique_2021_à_Marrakech_57121784.htm
